user_id,most_search,category
99476588,hạ cánh nơi anh,Romance
99470741,KHIE,Other
99470496,chàng hậu,Drama
99469255,2 ngày 1 đêm,Reality Show
99468612,KAIT,Sports
99465107,one Piece,Animation
99460300,macgic,Fantasy
99459168,nam cung phu nhân,Romance
99457939,chốn công sở,Comedy
99456508,phượng tú hoàng,Drama
99454757,thương ngày nắng về,Other
99454266,boruto: naruto the movie,Animation
99453705,tết,Holiday
99445060,tiệm cà phê toàn mỹ nam,Romance
99441953,chàng hậu,Drama
99439763,hóa ra anh vẫn ở đây,Romance
99434553,nước cờ đi vào tim em,Romance
99425402,yêu nhầm chị dâu,Comedy
99419154,spy pam,Action
99417968,mặt trời của chàng joo,Drama
99412508,vanitas,Other
99406010,dưới bóng mộc miên,Drama
99403298,tiền bối đung,Horror
99399694,nước cờ đi vào tim em,Romance
99396616,eve,Drama
99387544,HAN QUOC,Sports
99383710,thiên nga bóng đêm,Horror
99383186,cô vợ mhis của siêu sao,Reality Show
99382508,pháp,News
99378026,tiểu nương tử nhà tướng quân,C Drama
99376024,việt nam hôm nay,News
99373900,cô vợ bắt buộc,Drama
99368004,running man trung quốc,Reality Show
99366091,"chị ơi, anh yêu em",Romance
99364200,học viện anh hùng (phần 1),Drama
99363400,thế giới động vật,Documentary
99363196,fairy tail,Animation
99361085,nhật ký thường ngày của tiên vương,Fantasy
99356921,one punch man season 2,Comedy
99354355,fruit basket,Drama
99353753,con cào cào,Children's Show
99353674,chàng hậu,History
99352785,vùng,News
99347244,cá mực hầm mật,Cooking
99339170,đảo hải tạc,Action
99337734,exo nhà bên,Music
99333782,cuộc chiến những ngôi sao,Reality Show
99326375,trạng tý phiêu lưu kí,Adventure
99315586,thử thách thần chết: giữa hai thế giới,Fantasy
99312615,nữ thanh tra tài ba,Drama
99309306,attack on titan (final season),Action
99306186,love,Romance
99305446,thực tậ,Sports
99302820,aikatsu - idol activity (part 1),Animation
99297875,công tố viên,Drama
99297566,the lucky one,Romance
99294281,hoàng hậu lưu hắc bàn,C Drama
99287668,đêm định mệnh,Horror
99283976,con ruột con riêng,Comedy
99272877,hua jai sila,Drama
99265252,tân bạch nương tử truyền kì,K Drama
99261068,FATE,Action
99250565,thẩm phán ác ma,Horror
99244922,chú ơi,Other
99243265,điên thì  có sao,Comedy
99242905,chỉ là quan hệ hôn nhân,Romance
99241395,cô bé masha và chú gấu xiếc,Animation
99237776,akame ga kill,Action
99235520,anna,Drama
99233715,tuổi trẻ của tháng năm,Music
99226689,10 ducks,Comedy
99222666,chị đã thành công thu hút sự chú ý của tôi,Reality Show
99220248,tiết đinh san,News
99216226,vàng,Other
99211820,midnight runner,Action
99207817,kẻ truyền thừa,Drama
99205578,thanh gươm diệt quỷ,Horror
99198983,snowd,Other
99188975,mùa hè yêu đâu của chúng ta,Romance
99187880,cô bé người gỗ,Animation
99186975,hồ sơ trinh sát,C Drama
99177609,vợ quan,Drama
99168074,siêu nhân,Action
99164234,lưỡng thế hoan,Comedy
99161333,phim da sac khuynh thanh,Horror
99156537,Khách Sạn Huyền Bí 4: Ma Cà Rồng Biến Hình,Fantasy
99149456,bái kiến cung chủ đại nhân,Drama
99145569,yêu thầm anh xã,Romance
99108687,nhóc trùm,Action
99106346,hội pháp sư 2,Animation
99094715,chú ơi,Comedy
99092688,chế linh,Other
99077873,co gai bhin thay mui huong,Drama
99072824,descape me,Drama
99066196,điên thì có sao,Romance
99064956,bạn bin,Other
99062001,anh chỉ thích em,Romance
99057822,no game no life,Animation
99049367,mị nguyệt truyện,Romance
99046574,eve,Drama
99036633,cuộc chiến tình yêu,Romance
99035449,nhà trọ waikiki,Comedy
99030154,xin chào tay súng thần,Action
99029384,anh trai nhà đối diện,Drama
99020003,black widow,Action
99018352,huyền của ôn noãn,Other
99017670,em đến cùng mùa hè,Other
99015990,siêu nhân,Superhero
99012200,biet thu moc mien,Comedy
99010404,tình thương phu thê,Drama
99009244,nhà trọ balanha,Comedy
99005680,phim tình cảm,Romance
99001722,giáng thu,Other
99001478,ôi hoàng đế bệ hạ của ta,Drama
98996824,VO,TV Channel
98992150,lời nguyền ma lai,Horror
98991649,30 chưa phải là hết,Comedy
98989661,phượng tù hoàng,Action
98985506,ngự giao ký,Drama
98982139,lặng lẽ thích cậu,Romance
98973338,doc co thien ha,Music
98968313,người thầy y đức,Reality Show
98968014,hạnh phúc vẫn se,Comedy
98967603,thiên nga bóng đêm,Horror
98963169,cảm ơn cuộc đời,Drama
98959763,k+ phong cách hd,K Drama
98956774,quý ông hoàn hảo và cô nàng tạm được,Romance
98950376,boku no hero academia (season 1),Animation
98946985,thâm kế độc tình,Drama
98943918,thẩm phán ác ma,Horror
98941607,bloody romantic,Romance
98940064,nắng 3,Comedy
98931956,kimetsu no yaiba,Action
98929578,bolero,Romance
98925513,love is hard for otaku,Drama
98923438,the guest,Action
98921946,kẻ quyến rũ đại tài,C Drama
98918853,vạn phụng chi vương,K Drama
98916109,LO LEM VA BON,Comedy
98912524,oan gia ngõ hẹp,Horror
98912367,true beauty,Reality Show
98910713,phù dao hoàng hậu,Drama
98908598,thính tuyết lâu,Music
98905420,có lẽ lad yêu,Romance
98904747,bầu trời rực đỏ,Action
98897793,người đẹp gangnam,Variety Show
98895164,phim ma,Horror
98886778,phim ma hài,Comedy
98878120,hanh phúc vo ao,Reality Show
98874347,quy tắc của quý,Drama
98865542,giải mã nhân tâm,Documentary
98859201,Tìm kiếm bằng giọng nói,Technology
98844025,chiếc lá cuốn bay,Animation
98834876,em là định mệnh đời anh,Romance
98831424,Tìm kiếm bằng giọng nói,Music
98831186,bên nhau trọn đời,Romance
98823629,thanh xuân vật vã,Drama
98801541,anh,Other
98801471,penth,Action
98785178,lưu ly mỹ nhân sát,Horror
98777213,lê hấp đường phèn,Comedy
98769380,arrival,Science Fiction
98769043,why her?,Romance
98764198,hoàng hậu cuối cùng,Drama
98760355,com tim sắt đá,Action
98759862,u19,Sports
98736815,fairy tail final,Animation
98729851,dong cung,C Drama
98719008,tiểu thư thành la,Comedy
98708576,connan,Adventure
98688410,mẹ chồng tôi thật đáng yêu,Romance
98688191,kinh dị,Horror
98686458,hoàng hậu lưu bắc hàn,Drama
98681866,cô dâu bị cáo,Drama
98680648,vũ điệu đường phố,Music
98680287,lam diễn đột kích,Action
98677510,châu sinh thân,Romance
98667334,minh châu rực rỡ,Comedy
98667134,vũ,Other
98665419,điên thì có sao,Horror
98665319,yêu tinh,Drama
98663880,tiểu nương tử nhà tướng quân,C Drama
98663422,Ngon gio tinh yeu,Romance
98662644,10 năm 3 tháng 30 ngày,Drama
98660797,cuộc chiến hậu cung,Action
98660487,sakura - thủ lĩnh thẻ bài,Animation
98655593,hoàn hồn,Comedy
98655119,my band,Music
98653848,bí kíp luyện rồng,Other
98636848,hoa du kí,Drama
98632118,termi,Horror
98631046,pachinko,Other
98630244,điên thì có sao,Horror
